CO2Mean,GMean,H2OMean,O2Mean,Points_0,Points_1,Points_2,TMean,UMean_0,UMean_1,UMean_2,rhoMean
0.000270868,77811.3,0.000221757,0.232593,0.475,0.13916,0.1,350.418,-0.139626,0.00937047,0.286407,1.00372
0.000271816,77845.1,0.000222533,0.232592,0.475,0.14014,0.1,350.526,-0.139281,0.00939552,0.286594,1.00341
0.000272764,77878.9,0.000223309,0.23259,0.475,0.14112,0.1,350.635,-0.138936,0.00942058,0.286782,1.00311
0.000273712,77912.7,0.000224086,0.232589,0.475,0.1421,0.1,350.744,-0.138592,0.00944564,0.286969,1.0028
0.00027466,77946.4,0.000224862,0.232587,0.475,0.14308,0.1,350.852,-0.138247,0.00947069,0.287156,1.00249
0.000275609,77980.2,0.000225638,0.232586,0.475,0.14406,0.1,350.961,-0.137903,0.00949575,0.287344,1.00219
0.000276557,78014,0.000226414,0.232585,0.475,0.14504,0.1,351.069,-0.137558,0.0095208,0.287531,1.00188
0.000277505,78047.8,0.000227191,0.232583,0.475,0.14602,0.1,351.178,-0.137214,0.00954586,0.287719,1.00157
0.000278453,78081.5,0.000227967,0.232582,0.475,0.147,0.1,351.287,-0.136869,0.00957092,0.287906,1.00126
0.000279401,78115.3,0.000228743,0.23258,0.475,0.14798,0.1,351.395,-0.136525,0.00959597,0.288094,1.00096
0.00028035,78149.1,0.00022952,0.232579,0.475,0.14896,0.1,351.504,-0.13618,0.00962103,0.288281,1.00065
0.000281298,78182.9,0.000230296,0.232577,0.475,0.14994,0.1,351.612,-0.135835,0.00964608,0.288469,1.00034
0.000282883,78237.8,0.000231594,0.232575,0.475,0.15092,0.1,351.799,-0.135066,0.00962242,0.288172,0.999821
0.000284615,78310.2,0.000233012,0.232572,0.475,0.1519,0.1,351.998,-0.134729,0.0100099,0.287576,0.999272
0.000286347,78382.5,0.00023443,0.232569,0.475,0.15288,0.1,352.197,-0.134392,0.0103974,0.286979,0.998724
0.000288079,78454.9,0.000235848,0.232567,0.475,0.15386,0.1,352.396,-0.134055,0.0107849,0.286383,0.998176
0.000289811,78527.3,0.000237265,0.232564,0.475,0.15484,0.1,352.595,-0.133718,0.0111724,0.285786,0.997628
0.000291543,78599.6,0.000238683,0.232561,0.475,0.15582,0.1,352.794,-0.133381,0.0115599,0.28519,0.99708
0.000293275,78672,0.000240101,0.232559,0.475,0.1568,0.1,352.993,-0.133044,0.0119474,0.284593,0.996532
0.000295006,78744.3,0.000241519,0.232556,0.475,0.15778,0.1,353.192,-0.132707,0.0123349,0.283997,0.995984
0.000296738,78816.7,0.000242937,0.232553,0.475,0.15876,0.1,353.391,-0.13237,0.0127224,0.2834,0.995436
0.00029847,78889.1,0.000244355,0.232551,0.475,0.15974,0.1,353.59,-0.132034,0.01311,0.282804,0.994887
0.000300202,78961.4,0.000245773,0.232548,0.475,0.16072,0.1,353.789,-0.131697,0.0134975,0.282207,0.994339
0.000301934,79033.8,0.000247191,0.232545,0.475,0.1617,0.1,353.988,-0.13136,0.013885,0.281611,0.993791
0.000303666,79106.2,0.000248608,0.232543,0.475,0.16268,0.1,354.187,-0.131023,0.0142725,0.281014,0.993243
0.000305398,79178.5,0.000250026,0.23254,0.475,0.16366,0.1,354.386,-0.130686,0.01466,0.280418,0.992695
0.00030713,79250.9,0.000251444,0.232537,0.475,0.16464,0.1,354.585,-0.130349,0.0150475,0.279821,0.992147
0.000308861,79323.2,0.000252862,0.232535,0.475,0.16562,0.1,354.784,-0.130012,0.015435,0.279225,0.991599
0.000310593,79395.6,0.00025428,0.232532,0.475,0.1666,0.1,354.983,-0.129675,0.0158225,0.278628,0.991051
0.000312325,79468,0.000255698,0.232529,0.475,0.16758,0.1,355.183,-0.129338,0.01621,0.278032,0.990502
0.000314057,79540.3,0.000257116,0.232527,0.475,0.16856,0.1,355.382,-0.129001,0.0165975,0.277435,0.989954
0.000315789,79612.7,0.000258534,0.232524,0.475,0.16954,0.1,355.581,-0.128664,0.016985,0.276839,0.989406
0.000317521,79685.1,0.000259951,0.232521,0.475,0.17052,0.1,355.78,-0.128328,0.0173725,0.276242,0.988858
0.000319253,79757.4,0.000261369,0.232519,0.475,0.1715,0.1,355.979,-0.127991,0.01776,0.275646,0.98831
0.000320985,79829.8,0.000262787,0.232516,0.475,0.17248,0.1,356.178,-0.127654,0.0181475,0.275049,0.987762
0.000322716,79902.1,0.000264205,0.232513,0.475,0.17346,0.1,356.377,-0.127317,0.018535,0.274453,0.987214
0.000324448,79974.5,0.000265623,0.232511,0.475,0.17444,0.1,356.576,-0.12698,0.0189225,0.273856,0.986665
0.00032618,80046.9,0.000267041,0.232508,0.475,0.17542,0.1,356.775,-0.126643,0.01931,0.27326,0.986117
0.000327912,80119.2,0.000268459,0.232505,0.475,0.1764,0.1,356.974,-0.126306,0.0196975,0.272663,0.985569
0.000329644,80191.6,0.000269876,0.232503,0.475,0.17738,0.1,357.173,-0.125969,0.020085,0.272067,0.985021
0.000331376,80264,0.000271294,0.2325,0.475,0.17836,0.1,357.372,-0.125632,0.0204725,0.27147,0.984473
0.000333108,80336.3,0.000272712,0.232497,0.475,0.17934,0.1,357.571,-0.125295,0.02086,0.270874,0.983925
0.00033484,80408.7,0.00027413,0.232495,0.475,0.18032,0.1,357.77,-0.124959,0.0212475,0.270277,0.983377
0.000336571,80481,0.000275548,0.232492,0.475,0.1813,0.1,357.969,-0.124622,0.021635,0.269681,0.982829
0.000338789,80578.2,0.000277364,0.232489,0.475,0.18228,0.1,358.235,-0.123044,0.0221475,0.268666,0.982111
0.000340998,80701.3,0.000279172,0.232485,0.475,0.18326,0.1,358.494,-0.121872,0.02323,0.267456,0.981421
0.000343206,80824.6,0.00028098,0.232482,0.475,0.18424,0.1,358.754,-0.120706,0.024317,0.266245,0.980731
0.000345414,80947.9,0.000282788,0.232478,0.475,0.18522,0.1,359.014,-0.119539,0.0254039,0.265033,0.980041
0.000347622,81071.2,0.000284595,0.232475,0.475,0.1862,0.1,359.273,-0.118372,0.0264909,0.263822,0.979351
0.00034983,81194.4,0.000286403,0.232472,0.475,0.18718,0.1,359.533,-0.117205,0.0275779,0.262611,0.978661
0.000352038,81317.7,0.000288211,0.232468,0.475,0.18816,0.1,359.793,-0.116038,0.0286648,0.2614,0.977971
0.000354246,81441,0.000290018,0.232465,0.475,0.18914,0.1,360.052,-0.114871,0.0297518,0.260188,0.977281
0.000356455,81564.2,0.000291826,0.232461,0.475,0.19012,0.1,360.312,-0.113705,0.0308388,0.258977,0.976591
0.000358663,81687.5,0.000293634,0.232458,0.475,0.1911,0.1,360.572,-0.112538,0.0319257,0.257766,0.975901
0.000360871,81810.8,0.000295442,0.232455,0.475,0.19208,0.1,360.831,-0.111371,0.0330127,0.256554,0.975211
0.000363079,81934.1,0.000297249,0.232451,0.475,0.19306,0.1,361.091,-0.110204,0.0340997,0.255343,0.974521
0.000365287,82057.3,0.000299057,0.232448,0.475,0.19404,0.1,361.351,-0.109037,0.0351866,0.254132,0.973831
0.000367495,82180.6,0.000300865,0.232444,0.475,0.19502,0.1,361.61,-0.10787,0.0362736,0.252921,0.97314
0.000369703,82303.9,0.000302673,0.232441,0.475,0.196,0.1,361.87,-0.106704,0.0373606,0.251709,0.97245
0.000371911,82427.2,0.00030448,0.232438,0.475,0.19698,0.1,362.129,-0.105537,0.0384476,0.250498,0.97176
0.000374119,82550.4,0.000306288,0.232434,0.475,0.19796,0.1,362.389,-0.10437,0.0395345,0.249287,0.97107
0.000376327,82673.7,0.000308096,0.232431,0.475,0.19894,0.1,362.649,-0.103203,0.0406215,0.248076,0.97038
0.000378535,82797,0.000309903,0.232427,0.475,0.19992,0.1,362.908,-0.102036,0.0417085,0.246864,0.96969
0.000380743,82920.2,0.000311711,0.232424,0.475,0.2009,0.1,363.168,-0.100869,0.0427954,0.245653,0.969
0.000382951,83043.5,0.000313519,0.232421,0.475,0.20188,0.1,363.428,-0.0997026,0.0438824,0.244442,0.96831
0.000385159,83166.8,0.000315327,0.232417,0.475,0.20286,0.1,363.687,-0.0985357,0.0449694,0.24323,0.96762
0.000387367,83290.1,0.000317134,0.232414,0.475,0.20384,0.1,363.947,-0.0973689,0.0460563,0.242019,0.96693
0.000389575,83413.3,0.000318942,0.23241,0.475,0.20482,0.1,364.207,-0.096202,0.0471433,0.240808,0.96624
0.000391784,83536.6,0.00032075,0.232407,0.475,0.2058,0.1,364.466,-0.0950352,0.0482303,0.239597,0.96555
0.000393992,83659.9,0.000322557,0.232404,0.475,0.20678,0.1,364.726,-0.0938684,0.0493172,0.238385,0.96486
0.0003962,83783.2,0.000324365,0.2324,0.475,0.20776,0.1,364.986,-0.0927015,0.0504042,0.237174,0.96417
0.000398408,83906.4,0.000326173,0.232397,0.475,0.20874,0.1,365.245,-0.0915347,0.0514912,0.235963,0.96348
0.000400616,84029.7,0.000327981,0.232393,0.475,0.20972,0.1,365.505,-0.0903679,0.0525781,0.234752,0.96279
0.000402824,84153,0.000329788,0.23239,0.475,0.2107,0.1,365.765,-0.0892011,0.0536651,0.23354,0.9621
0.000405032,84276.2,0.000331596,0.232387,0.475,0.21168,0.1,366.024,-0.0880342,0.0547521,0.232329,0.96141
0.00040724,84399.5,0.000333404,0.232383,0.475,0.21266,0.1,366.284,-0.0868674,0.0558391,0.231118,0.96072
0.000409229,84550,0.000335032,0.23238,0.475,0.21364,0.1,366.53,-0.0842311,0.0568571,0.229808,0.960078
0.000411044,84732.6,0.000336518,0.232377,0.475,0.21462,0.1,366.756,-0.0817069,0.058181,0.228513,0.959499
0.00041285,84917.5,0.000337997,0.232375,0.475,0.2156,0.1,366.981,-0.0792234,0.0595323,0.227222,0.958925
0.000414656,85102.3,0.000339475,0.232372,0.475,0.21658,0.1,367.206,-0.0767399,0.0608836,0.225931,0.958351
0.000416461,85287.1,0.000340953,0.232369,0.475,0.21756,0.1,367.431,-0.0742565,0.0622349,0.22464,0.957777
0.000418267,85472,0.000342431,0.232366,0.475,0.21854,0.1,367.656,-0.071773,0.0635862,0.223349,0.957203
0.000420072,85656.8,0.00034391,0.232363,0.475,0.21952,0.1,367.881,-0.0692895,0.0649375,0.222057,0.956629
0.000421878,85841.6,0.000345388,0.232361,0.475,0.2205,0.1,368.106,-0.0668061,0.0662888,0.220766,0.956054
